nomem_encr,new_child
712619,
706448,
729145,
729424,
715619,0
715353,
704754,
726292,
716711,1
729919,
733022,
703686,
731896,
732939,
720188,
709115,
732438,
702197,
717188,0
712090,0
725044,
714127,
711096,
717468,
729728,
713177,
722192,
707505,
708955,
730414,
729784,
708655,
700447,
728123,
704590,
709537,0
718518,
729238,
729244,
732667,
722252,
722802,
709280,
705789,
721872,
703956,
726005,
729625,
717799,
721798,
711733,
726424,
724669,
726010,
711144,
722333,
722145,
705342,
729288,
703973,
706624,
701934,0
722049,0
716629,
727505,1
728515,
716956,
709423,
720147,
712775,
728362,
717107,
733037,
718472,
707819,1
704281,0
716048,
730616,
710690,
718105,
721330,
718279,
700731,0
711549,
707429,
727882,
718277,
722984,
719861,
704544,
721002,
719895,1
719331,
703740,
723943,
722596,
728010,
708937,0
725455,
